303042564 1254 9/10/11/12/13/14/15/16/
303042568 1256 17/18/19/20/21/22/23/24/
303042572 1255 25/26/27/28/29/30/31/32/
303042576 1255 1/2/3/4/5/6/7/8/
303042580 1207 1/2/3/4/5/6/7/8/
303042584 1207 25/26/27/28/29/30/31/32/
303042588 1208 17/18/19/20/21/22/23/24/
303042592 1206 9/10/11/12/13/14/15/16/
303046660 1251 41/42/43/44/45/46/47/48/
303046664 1251 1/2/3/4/5/6/7/8/
303046668 1253 25/26/27/28/29/30/31/32/
303046672 1253 1/2/3/4/5/6/7/8/
303046676 1205 1/2/3/4/5/6/7/8/
303046680 1205 25/26/27/28/29/30/31/32/
303046684 1203 1/2/3/4/5/6/7/8/
303046688 1203 41/42/43/44/45/46/47/48/
303050756 1249 17/18/19/20/21/22/23/24/
303050760 1248 25/26/27/28/29/30/31/32/
303050764 1248 1/2/3/4/5/6/7/8/
303050768 1250 25/26/27/28/29/30/31/32/
303050772 1202 25/26/27/28/29/30/31/32/
303050776 1200 1/2/3/4/5/6/7/8/
303050780 1200 25/26/27/28/29/30/31/32/
303050784 1201 17/18/19/20/21/22/23/24/
303054852 1273 17/18/19/20/21/22/23/24/
303054856 1272 25/26/27/28/29/30/31/32/
303054860 1272 1/2/3/4/5/6/7/8/
303054864 1274 25/26/27/28/29/30/31/32/
303054868 1226 25/26/27/28/29/30/31/32/
303054872 1224 1/2/3/4/5/6/7/8/
303054876 1224 25/26/27/28/29/30/31/32/
303054880 1225 17/18/19/20/21/22/23/24/
303058948 1275 41/42/43/44/45/46/47/48/
303058952 1275 1/2/3/4/5/6/7/8/
303058956 1277 25/26/27/28/29/30/31/32/
303058960 1277 1/2/3/4/5/6/7/8/
303058964 1229 1/2/3/4/5/6/7/8/
303058968 1229 25/26/27/28/29/30/31/32/
303058972 1227 1/2/3/4/5/6/7/8/
303058976 1227 41/42/43/44/45/46/47/48/
303063044 1278 9/10/11/12/13/14/15/16/
303063048 1280 17/18/19/20/21/22/23/24/
303063052 1279 25/26/27/28/29/30/31/32/
303063056 1279 1/2/3/4/5/6/7/8/
303063060 1231 1/2/3/4/5/6/7/8/
303063064 1231 25/26/27/28/29/30/31/32/
303063068 1232 17/18/19/20/21/22/23/24/
303063072 1230 9/10/11/12/13/14/15/16/
303067140 1285 17/18/19/20/21/22/23/24/
303067144 1284 25/26/27/28/29/30/31/32/
303067148 1284 1/2/3/4/5/6/7/8/
303067152 1287 1/2/3/4/5/6/7/8/
303067156 1239 1/2/3/4/5/6/7/8/
303067160 1236 1/2/3/4/5/6/7/8/
303067164 1236 25/26/27/28/29/30/31/32/
303067168 1237 17/18/19/20/21/22/23/24/
303071236 1288 9/10/11/12/13/14/15/16/
303071240 1287 25/26/27/28/29/30/31/32/
303071244 1289 25/26/27/28/29/30/31/32/
303071248 1289 1/2/3/4/5/6/7/8/
303071252 1241 1/2/3/4/5/6/7/8/
303071256 1241 25/26/27/28/29/30/31/32/
303071260 1239 25/26/27/28/29/30/31/32/
303071264 1240 9/10/11/12/13/14/15/16/
303075332 1290 17/18/19/20/21/22/23/24/
303075336 1292 41/42/43/44/45/46/47/48/
303075340 1292 1/2/3/4/5/6/7/8/
303075344 1291 25/26/27/28/29/30/31/32/
303075348 1243 25/26/27/28/29/30/31/32/
303075352 1244 1/2/3/4/5/6/7/8/
303075356 1244 41/42/43/44/45/46/47/48/
303075360 1242 17/18/19/20/21/22/23/24/
303079428 1266 17/18/19/20/21/22/23/24/
303079432 1268 41/42/43/44/45/46/47/48/
303079436 1268 1/2/3/4/5/6/7/8/
303079440 1267 25/26/27/28/29/30/31/32/
303079444 1219 25/26/27/28/29/30/31/32/
303079448 1220 1/2/3/4/5/6/7/8/
303079452 1220 41/42/43/44/45/46/47/48/
303079456 1218 17/18/19/20/21/22/23/24/
303083524 1264 9/10/11/12/13/14/15/16/
303083528 1263 25/26/27/28/29/30/31/32/
303083532 1265 25/26/27/28/29/30/31/32/
303083536 1265 1/2/3/4/5/6/7/8/
303083540 1217 1/2/3/4/5/6/7/8/
303083544 1217 25/26/27/28/29/30/31/32/
303083548 1215 25/26/27/28/29/30/31/32/
303083552 1216 9/10/11/12/13/14/15/16/
303087620 1261 17/18/19/20/21/22/23/24/
303087624 1260 25/26/27/28/29/30/31/32/
303087628 1260 1/2/3/4/5/6/7/8/
303087632 1263 1/2/3/4/5/6/7/8/
303087636 1215 1/2/3/4/5/6/7/8/
303087640 1212 1/2/3/4/5/6/7/8/
303087644 1212 25/26/27/28/29/30/31/32/
303087648 1213 17/18/19/20/21/22/23/24/
304091140 1256 41/42/43/44/
